t,Euler,Solução Exata,Erro Euler
0.0,1.0,1.0,0.0
0.1,1.1,1.1051709180756477,0.005170918075647624
0.2,1.2100000000000002,1.2214027581601699,0.011402758160169668
0.3,1.3310000000000002,1.3498588075760032,0.018858807576003
0.4,1.4641000000000002,1.4918246976412703,0.02772469764127017
0.5,1.61051,1.6487212707001282,0.038211270700128086
0.6,1.7715610000000002,1.8221188003905089,0.05055780039050872
0.7,1.9487171,2.0137527074704766,0.06503560747047654
0.8,2.1435888100000002,2.2255409284924674,0.0819521184924672
0.9,2.357947691,2.4596031111569494,0.10165542015694928
1.0,2.5937424601,2.718281828459045,0.124539368359045
