iter,fase,k,linha_pivo,linha_alvo,pivo,multiplicador,acao
0,normalizacao,0,0,0,4.0,0.25,normalizar_linha
1,eliminacao,0,0,1,1.0,-1.0,anular_elemento
2,eliminacao,0,0,2,1.0,0.0,anular_elemento
3,eliminacao,0,0,3,1.0,-1.0,anular_elemento
4,eliminacao,0,0,4,1.0,0.0,anular_elemento
5,eliminacao,0,0,5,1.0,0.0,anular_elemento
6,normalizacao,1,1,1,3.75,0.26666666666666666,normalizar_linha
7,eliminacao,1,1,0,1.0,-0.25,anular_elemento
8,eliminacao,1,1,2,1.0,-1.0,anular_elemento
9,eliminacao,1,1,3,1.0,-0.25,anular_elemento
10,eliminacao,1,1,4,1.0,-1.0,anular_elemento
11,eliminacao,1,1,5,1.0,0.0,anular_elemento
12,normalizacao,2,2,2,3.7333333333333334,0.26785714285714285,normalizar_linha
13,eliminacao,2,2,0,1.0,-0.06666666666666667,anular_elemento
14,eliminacao,2,2,1,1.0,-0.26666666666666666,anular_elemento
15,eliminacao,2,2,3,1.0,-0.06666666666666667,anular_elemento
16,eliminacao,2,2,4,1.0,-0.26666666666666666,anular_elemento
17,eliminacao,2,2,5,1.0,-1.0,anular_elemento
18,normalizacao,3,3,3,3.732142857142857,0.2679425837320574,normalizar_linha
19,eliminacao,3,3,0,1.0,-0.26785714285714285,anular_elemento
20,eliminacao,3,3,1,1.0,-0.07142857142857142,anular_elemento
21,eliminacao,3,3,2,1.0,-0.017857142857142856,anular_elemento
22,eliminacao,3,3,4,1.0,-1.0714285714285714,anular_elemento
23,eliminacao,3,3,5,1.0,-0.017857142857142856,anular_elemento
24,normalizacao,4,4,4,3.4066985645933014,0.29353932584269665,normalizar_linha
25,eliminacao,4,4,0,1.0,-0.14832535885167464,anular_elemento
26,eliminacao,4,4,1,1.0,-0.3062200956937799,anular_elemento
27,eliminacao,4,4,2,1.0,-0.07655502392344497,anular_elemento
28,eliminacao,4,4,3,1.0,-0.28708133971291866,anular_elemento
29,eliminacao,4,4,5,1.0,-1.076555023923445,anular_elemento
30,normalizacao,5,5,5,3.3918539325842696,0.294824016563147,normalizar_linha
31,eliminacao,5,5,0,1.0,-0.06601123595505617,anular_elemento
32,eliminacao,5,5,1,1.0,-0.16853932584269665,anular_elemento
33,eliminacao,5,5,2,1.0,-0.29213483146067415,anular_elemento
34,eliminacao,5,5,3,1.0,-0.09550561797752809,anular_elemento
35,eliminacao,5,5,4,1.0,-0.3160112359550562,anular_elemento
36,solucao,,,,,,solucao_obtida
