iter,fase,k,linha_pivo,linha_alvo,pivo,multiplicador,acao
0,fatoracao_LU,,,,,,inicio_fatoracao
1,fatoracao_LU,0,0,1,4.0,-0.25,armazenar_multiplicador_L_e_anular_U
2,fatoracao_LU,0,0,2,4.0,0.0,armazenar_multiplicador_L_e_anular_U
3,fatoracao_LU,0,0,3,4.0,-0.25,armazenar_multiplicador_L_e_anular_U
4,fatoracao_LU,0,0,4,4.0,0.0,armazenar_multiplicador_L_e_anular_U
5,fatoracao_LU,0,0,5,4.0,0.0,armazenar_multiplicador_L_e_anular_U
6,fatoracao_LU,1,1,2,3.75,-0.26666666666666666,armazenar_multiplicador_L_e_anular_U
7,fatoracao_LU,1,1,3,3.75,-0.06666666666666667,armazenar_multiplicador_L_e_anular_U
8,fatoracao_LU,1,1,4,3.75,-0.26666666666666666,armazenar_multiplicador_L_e_anular_U
9,fatoracao_LU,1,1,5,3.75,0.0,armazenar_multiplicador_L_e_anular_U
10,fatoracao_LU,2,2,3,3.7333333333333334,-0.017857142857142856,armazenar_multiplicador_L_e_anular_U
11,fatoracao_LU,2,2,4,3.7333333333333334,-0.07142857142857142,armazenar_multiplicador_L_e_anular_U
12,fatoracao_LU,2,2,5,3.7333333333333334,-0.26785714285714285,armazenar_multiplicador_L_e_anular_U
13,fatoracao_LU,3,3,4,3.732142857142857,-0.28708133971291866,armazenar_multiplicador_L_e_anular_U
14,fatoracao_LU,3,3,5,3.732142857142857,-0.004784688995215311,armazenar_multiplicador_L_e_anular_U
15,fatoracao_LU,4,4,5,3.4066985645933014,-0.31601123595505615,armazenar_multiplicador_L_e_anular_U
16,substituicao_progressiva,,,,,,inicio_substituicao_progressiva
17,substituicao_progressiva,0,,0,1.0,,calcular_y[i]
18,substituicao_progressiva,1,,1,1.0,,calcular_y[i]
19,substituicao_progressiva,2,,2,1.0,,calcular_y[i]
20,substituicao_progressiva,3,,3,1.0,,calcular_y[i]
21,substituicao_progressiva,4,,4,1.0,,calcular_y[i]
22,substituicao_progressiva,5,,5,1.0,,calcular_y[i]
23,substituicao_regressiva,,,,,,iniciosubstituicao_regressiva
24,substituicao_regressiva,5,,5,3.3918539325842696,,calcular_x[i]
25,substituicao_regressiva,4,,4,3.4066985645933014,,calcular_x[i]
26,substituicao_regressiva,3,,3,3.732142857142857,,calcular_x[i]
27,substituicao_regressiva,2,,2,3.7333333333333334,,calcular_x[i]
28,substituicao_regressiva,1,,1,3.75,,calcular_x[i]
29,substituicao_regressiva,0,,0,4.0,,calcular_x[i]
30,solucao,,,,,,solucao_obtida
